@AppleSupport are the call centres closed for the night?,,,,,,,,,,,,,,,,,COMPLAIN,(OR SUGGEST)
@AppleSupport one of my Finder extensions (@29961 Backup and Sync) keeps turning itself off - what to do?,,,,,,,,,,,,,,,,,,
@AppleSupport My phone has just decided that is should be I.S and I.S autocorrecting every I.S to I.S. SEND HELP! PLEASE! How do I fix?,,,,,,,,,,,,,,,,,,
All of my photos just disappeared off my iPhone!?!? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport have you already fixed the problem regarding the update of the latest versions? like screen freezes?,,,,,,,,,,,,,,,,,,
Why can't I use my headset on my iPad mini 2? It just stopped working @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport hey guys, got an Apple TV 4K. Highly satisfied. But: how can I disconnect it from my Apple TV 3 remote?",,,,,,,,,,,,,,,,,,
@AppleSupport Without creating playlists? Like it was in iOS10.,,,,,,,,,,,,,,,,,,
@AppleSupport why do all my photographs that I've deleted keep coming back with a cloud icon? Photostream is turned off!,,,,,,,,,,,,,,,,,,
@147099 Sounds the same bug then. Any suggestions @AppleSupport ?,,,,,,,,,,,,,,,,,,
@AppleSupport it just happened again what is going on???,,,,,,,,,,,,,,,,,,
@AppleSupport purchased a Mac from a reseller in SA but it still has someone's login details. How do we get that account removed?,,,,,,,,,,,,,,,,,,
How not to let Siri activating itself whenever i press the home button? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport Hi I'm from Uk. I purchased a MacBook over a year ago. Is it still under warranty under U.K. Consumer law? I have a dead pixel,,,,,,,,,,,,,,,,,,
@AppleSupport going in for a GB appt later today for my AirPods because of audio problems. Is there a safe way to clean the mesh to test?,,,,,,,,,,,,,,,,,,
"@AppleSupport hi, I have no music installed on my iPh.SE w/latest iOS. No cloud activated / no mobile enabled for music yet can still play?",,,,,,,,,,,,,,,,,,
Anyone else experiencing apps crashing upon opening them and screen going occasionally black with IOS11? @AppleSupport @115858,,,,,,,,,,,,,,,,,,
Hey @AppleSupport can I logout from my email account on my iPad?,,,,,,,,,,,,,,,,,,
@AppleSupport Do you have a desktop application for Windows10 which manages calender on iCloud?I don't like Web app.,,,,,,,,,,,,,,,,,,
@AppleSupport @AppleSupport care to support?,,,,,,,,,,,,,,,,,,
Crazy battery life for 11.01. Ano na @applesupport ???!!!!!!!!!!,,,,,,,,,,,,,,,,,,
"@AppleSupport I already updated, yes. After a few hours and some reboots it stopped draining and started charging. Anything I can do to help you debug?",,,,,,,,,,,,,,,,,,
@AppleSupport Thanks @AppleSupport I wonder if @O2 can answer?,,,,,,,,,,,,,,,,,,
"@AppleSupport The phone unlocks slower, hangs again and again, consumes a lot of battery, the notification feature is gone. What were you trying to do while developing this update ? @115858 @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport Hi is the server down? Can't log in due to can't connect to server,,,,,,,,,,,,,,,,,,
@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,,,,,,,,,,,,,,,,,,
"Dear, Apple, any way to fix the ""iCloud storage is full"" (but it is not) bug without making a call 8 800 30 772? @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport why does my music on iphone 7 ios11.0.2 via airbuds stop suddenly mid-song?,,,,,,,,,,,,,,,,,,
@AppleSupport iOS 11.0.3! Install  DFUHonestly? I'm waiting for a stable and optimized iOS!!,,,,,,,,,,,,,,,,,,
"@313081 @AppleSupport Come on, just file a Radar and the developers will get back to you. How hard can it be?",,,,,,,,,,,,,,,,,,
@AppleSupport @176768 Why DM instead of tweet? The rest of us want to hear the answer too.,,,,,,,,,,,,,,,,,,
@AppleSupport iPad Pro Does it matter?,,,,,,,,,,,,,,,,,,
@AppleSupport How to create a new local folder? Not inside iCloud. Only in files,,,,,,,,,,,,,,,,,,
@AppleSupport after 3rd update in less than a month my iPhone 7 plus is a complete mess... when are you going to sort this out?! #ios1103,,,,,,,,,,,,,,,,,,
"Hey @AppleSupport, is the bug report site down? Just keeps repeating the login screen, over and over again.",,,,,,,,,,,,,,,,,,
@AppleSupport Unable to pair watch with companion iPhoneIt ask me for a update but she done and nothing append ! What did I need to do ?,,,,,,,,,,,,,,,,,,
@AppleSupport Volgens Apple is de Ipad Air (A1475) compatibel met ios 11. Maar volgens mij niet want hij update niet.Heeft u even ?,,,,,,,,,,,,,,,,,,
"@AppleSupport I had update to ios 11.1, then I have a big problem The Battery Drawning. How to fix this problem?Help me please ...!",,,,,,,,,,,,,,,,,,
@115725 @AppleSupport WHY TF IS MY LTE ON MY IPHONE 7 PLUS NOT WORKING?!?,,,,,,,,,,,,,,,,,,
@AppleSupport Updated my MacBook to macOS High Sierra. My Apple TV (2nd Gen) remote connects to my MacBook despite being disabled. Help?,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 anyhere to get it restored. How is this support? How are the elderley meant to access your support?,,,,,,,,,,,,,,,,,,
I keep delaying my update until it is fixed by @AppleSupport does anyone know if the 11.03 update has been fixed?,,,,,,,,,,,,,,,,,,
@AppleSupport My iPhone 6s froze twice after closing from my messages and trying to open up Instagram. Had to hard-shut off. Any tips?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, since updating to ios11 I have been unable to accept or make calls. Had no problems on iOS10. Any advice?",,,,,,,,,,,,,,,,,,
@AppleSupport is there any way to go back to the previous version of iOS?  This current version is horrible!,,,,,,,,,,,,,,,,,,
@AppleSupport my right speaker on my macbook pro is muffled and static what should i do?,,,,,,,,,,,,,,,,,,
@AppleSupport i updated to ios  11 and it all the pictures on my phone???????? Photo Library non  longer syncing,,,,,,,,,,,,,,,,,,
@32034 @AppleSupport if someone is not getting their iMessages delivered. Is it my network. Is it theirs? Or is it something else?,,,,,,,,,,,,,,,,,,
"Why is the wifi, time, and battery not showing at the top of my iphone 7 on the home screen ?  @AppleSupport",,,,,,,,,,,,,,,,,,
"@AppleSupport HA wait, just figured it out. Simply opening the Instagram app causes the camera to activate (?) and reset to square no filter, even if I",,,,,,,,,,,,,,,,,,
@AppleSupport Why would camera constantly default to Square with no filter when I only ever use Photo with Vivid?,,,,,,,,,,,,,,,,,,
can anyone test if portrait orientation works on #ios1103 as mine no longer works on iphone 7 plus. @AppleSupport ?,,,,,,,,,,,,,,,,,,
@AppleSupport can you help me check my battery health?,,,,,,,,,,,,,,,,,,
@AppleSupport if one of my devices won't turn on like it's just sitting on the apple what are some ways to get it to turn on?,,,,,,,,,,,,,,,,,,
@AppleSupport Why does it take 10-15 seconds to open any app? The camera app even? 5 iPhones in family. All the same. #android #updated,,,,,,,,,,,,,,,,,,
".@AppleSupport your iOS 11 is buggy, sticky, and slow. How does your software keep getting worse?!? #fail",,,,,,,,,,,,,,,,,,
@AppleSupport And if I experience the same thing? What then?,,,,,,,,,,,,,,,,,,
"@AppleSupport It's iOS 9 something, tried to update it but it said it's up to date? And I'm trying to yeah, got 50gb storage left so dunno what is is",,,,,,,,,,,,,,,,,,
@AppleSupport Hi - I updated my phone software last week but since then the battery life is awful. It has halved! What do I do?,,,,,,,,,,,,,,,,,,
@AppleSupport my battery keeps dying fast because of the update. How do I fix this issue?,,,,,,,,,,,,,,,,,,
"@AppleSupport ty, another quick question, is the portrait lighting feature coming in iPhone7plus any sooner ??",,,,,,,,,,,,,,,,,,
@AppleSupport When signing into iCloud I get error connecting to Apple server ID. Please can you help? Thank you,,,,,,,,,,,,,,,,,,
@AppleSupport why won't my wifi stay off????,,,,,,,,,,,,,,,,,,
@115858 I upgraded to iOS 11 and now my devices are closing apps in the middle of usage.  WTH??@AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport Probably, I have to pick up the phone somehow??? How do I make this stop? Why does touching the screen decline the call?",,,,,,,,,,,,,,,,,,
@AppleSupport How do I stop this nonsense @AppleSupport  @115858? And stop telling me to contact you with a direct message. Just tell me the fix.,,,,,,,,,,,,,,,,,,
"@AppleSupport Can i use european plug with 61W usb-c power adapter that i bought from US, without any voltage converter?",,,,,,,,,,,,,,,,,,
@AppleSupport DM???,,,,,,,,,,,,,,,,,,
@AppleSupport whats the email to send uni ID to for a discount please?,,,,,,,,,,,,,,,,,,
"Dear @AppleSupport (or anyone with knowledge): My iMessages are sending as texts to everyone, even iPhones, with update 11.0.2. Suggestions?",,,,,,,,,,,,,,,,,,
Dear @AppleSupport where can I find a Full installer of MacOS Sierra 10.12.6? I need it desperately. Please HELP!!,,,,,,,,,,,,,,,,,,
Chi ha problemi con la fotocamera con #ios11 (aggiornamenti anche successive)? #apple #iphone #iphone7plus @AppleSupport @115858,,,,,,,,,,,,,,,,,,
@AppleSupport Is there to set up a Genius Bar appointment through the Apple Store app? Or is it through the website?,,,,,,,,,,,,,,,,,,
"@AppleSupport Thank you. And yes it is, does it have to be on loud?",,,,,,,,,,,,,,,,,,
@AppleSupport why is my App Store not working on my iPhone 8?,,,,,,,,,,,,,,,,,,
@AppleSupport just had an email from __email__' is it a real account or a scam??,,,,,,,,,,,,,,,,,,
@AppleSupport what do you mean backing up ?,,,,,,,,,,,,,,,,,,
@AppleSupport Just checked again now; and of course it worked. I wonder if it had something to do with Spotlight indexing still running?,,,,,,,,,,,,,,,,,,
@AppleSupport is iCloud wiping photos and backups exceeding 5gbs after having downgraded from a paid tier normal?can't you just not add more,,,,,,,,,,,,,,,,,,
@AppleSupport  your latest software update makes my phone freeze and turn off every 15 minutes. How can this be fixed?,,,,,,,,,,,,,,,,,,
@AppleSupport do you still offer the mail in battery replacement service on iPhone 5s? Will need it soon. Curious. Thanks,,,,,,,,,,,,,,,,,,
"Fucking Twitter and Facebook manage to sync the badges. Why do i have to keep deleting each iMessage 5 times, on each device, @AppleSupport?",,,,,,,,,,,,,,,,,,
Hey @AppleSupport : why are all sorts of apps disappearing with my watch and phone updates?! Most of my social media apps have disappeared!,,,,,,,,,,,,,,,,,,
Soooo what do you do with your ssd hard drive when you need to upgrade your macbook pro? Like how do I transfer that? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport why does my new laptop have a charge thats supposed to last 10 hours but it lasts 2 if i'm lucky?,,,,,,,,,,,,,,,,,,
@AppleSupport is Messages on iCloud not supported in sweden?,,,,,,,,,,,,,,,,,,
@AppleSupport I requested for a repair and I was told I would get an email about my box but heard nothing? Will it still be coming?,,,,,,,,,,,,,,,,,,
@AppleSupport  Why are your parental controls are blocking my kids access to the Roblox server? It only works if they are disabled,,,,,,,,,,,,,,,,,,
@AppleSupport OK. Its not working at all.. Just tried on iOS and on a windows PC.. Still going back to the login prompt.. Can you comment please?,,,,,,,,,,,,,,,,,,
Hey @AppleSupport what the fuck is going on with my phone lol?! This update is trash!,,,,,,,,,,,,,,,,,,
@AppleSupport When will you release an update to fix Apple Music crashes on iOS 11? The app is unusable. Look at your own support forums!,,,,,,,,,,,,,,,,,,
@AppleSupport seriously! My 8 plus has crashed 6 times in the past 3 hours and at leat 20 since purchase. Freezes when opening apps. WTF??,,,,,,,,,,,,,,,,,,
@AppleSupport I did try it while connected to my own wifi. It still didn't work. On an unrelated note. Is there a way to u lock more storage on my phone?,,,,,,,,,,,,,,,,,,
@AppleSupport How do I cancel a subscription that is in the free period??!?!?,,,,,,,,,,,,,,,,,,
"@AppleSupport not sure why, but ever since the last update, my alarm no longer goes off if my phones on silent???",,,,,,,,,,,,,,,,,,
@AppleSupport Is it a but with ios 11?,,,,,,,,,,,,,,,,,,
"@AppleSupport Our iPhones are not used cars that come with glitches. We should not HAVE to jiggle the keys to make it start. A [?] will not quietly accept this and neither should anyone else. This is happening on iOS 11.0.3, not just 11.1. @115858 has become @115890!",,,,,,,,,,,,,,,,,,
@AppleSupport Is that what it was?,,,,,,,,,,,,,,,,,,
Anyone else having issues with your #iPhone mail not syncing all your .@133941 emails on #iOS11 ? .@AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport I Think is the latest version of iOS, how do i return to the Old version?",,,,,,,,,,,,,,,,,,
@AppleSupport what are the phone numbers for apple support is it called apple inc??,,,,,,,,,,,,,,,,,,
When are @AppleSupport or @115888 going to sort out this issue since the new update? Sick of putting on a song and it skipping ever second,,,,,,,,,,,,,,,,,,
"@AppleSupport thanks for getting back to me, yes. i was wondering if not updating your phone when a software update is available causes that?",,,,,,,,,,,,,,,,,,
"Hi @AppleSupport, my 5s had 6 iOS updates over the last 7 days and last night all my apps - WhatsApp, etc - stopped working... what gives?",,,,,,,,,,,,,,,,,,
@AppleSupport My tweet referring to iOS 11 seems to be the only one @AppleSupport not replying to?,,,,,,,,,,,,,,,,,,
@applesupport 11.0.3 5s Case: 100302769183 ~25 days old. Stuck with a device that powers off after 2-5 mins for 7 days. Acceptable support?,,,,,,,,,,,,,,,,,,
@AppleSupport Random lag/stuttering. Momentary app freeze Control center/lock screen audio controls not working. 11.0.3 iPhone 7Plus. ?????!,,,,,,,,,,,,,,,,,,
@AppleSupport hello. So not sure why. But my cellular data keeps being turned off? Ive turned it back on at three times this week? Help?,,,,,,,,,,,,,,,,,,
@AppleSupport your iOS 11.0.3 sucks. I cannot download Apps and games from the AppStore. What sort of rubbish is this? This is the worst iOS,,,,,,,,,,,,,,,,,,
"@118721 @115858 @AppleSupport are you kidding me?! every month I'm getting emails ""Payment method problem"". WTF?!",,,,,,,,,,,,,,,,,,
@AppleSupport Not sure what to do in the given link.. any customer care number available?,,,,,,,,,,,,,,,,,,
@AppleSupport Hi. My music on my iPhone is assuming I need applemusic to play even though all the songs I have downloaded and paid for?,,,,,,,,,,,,,,,,,,
@AppleSupport How do you retrieve your music back on your iPhone after changing your payment methods?,,,,,,,,,,,,,,,,,,
@320979 @AppleSupport Daaaamn. You good homie?,,,,,,,,,,,,,,,,,,
"@AppleSupport Yes i had. At some time i can swipe left to cam, but other time i cant. Do i always need to restart to activate swipe left cam?",,,,,,,,,,,,,,,,,,
"Hey @AppleSupport , my locked screen i8plus cant access the camera by swipe left on ios 11.0.3.. What happen..?",,,,,,,,,,,,,,,,,,
@AppleSupport if I would purchase an iPhone in the US w Applecare+ and take it back home to Netherlands. Do I then have warranty/support?,,,,,,,,,,,,,,,,,,
@AppleSupport @321041 Hey my battery has taken a compete nose dive since updating to iOS11. Can you help me out?,,,,,,,,,,,,,,,,,,
"@AppleSupport just me or is Display Calibrator Assistant broken in 10.13, skips past ""Set Up"" stage so you can only alter the white point?",,,,,,,,,,,,,,,,,,
@AppleSupport My iPhone updated over night and now it's not working and keeps switching itself off. What should I do?,,,,,,,,,,,,,,,,,,
My family has had so many issues with #icloud why does it have to be so hard? @AppleSupport your support page is useless #fixiCloud,,,,,,,,,,,,,,,,,,
@AppleSupport So without iOS11 I can't change my encryption pw.. my iPhone 5s can't get iOS11. Is there any other way I can do backups/data transfer?,,,,,,,,,,,,,,,,,,
@AppleSupport Can you check the overall battery health of my iPhone 6 Plus? Thanks,,,,,,,,,,,,,,,,,,
@AppleSupport Accidentally updated to new iOS on a 5s. Battery life is now just ridiculously short. Can I reverse update?,,,,,,,,,,,,,,,,,,
@AppleSupport Are there any issues with the App Store? Been trying to download two apps all morning.,,,,,,,,,,,,,,,,,,
@AppleSupportCan I not upgrade frm 10.3.3 to 11.0.3 without taking backup manually on to PC? As always yur softwr did it ( I use iPhone 7).,,,,,,,,,,,,,,,,,,
"@AppleSupport soooo since some of the apps I bought are unavailable in iOS 11, do we get refunded money?",,,,,,,,,,,,,,,,,,
@321559 Apple forum? More likely to get an answer than apple support if others in same boat (no pun intended) @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport How do you get a new passcode if you forget it along with your security questions?,,,,,,,,,,,,,,,,,,
"@AppleSupport Updated to 11.0.2, now there's no Videos app and my home videos don't appear in the TV app library. Another update coming?",,,,,,,,,,,,,,,,,,
@AppleSupport My 6S is unresponsive and basically useless since this update. When can I expect a fix?,,,,,,,,,,,,,,,,,,
@AppleSupport why does logging out of wifi on the control panel not log you out of wifi properly? Why did you make that design decision?,,,,,,,,,,,,,,,,,,
"@AppleSupport Still waiting on a reply here, @AppleSupport! Why are you unwilling to have this conversation with me?",,,,,,,,,,,,,,,,,,
"@AppleSupport /3 and settings, repeatedly. Why? Why did you do this?",,,,,,,,,,,,,,,,,,
"@AppleSupport How do I get your new iOS update not to constantly, constantly log me into wifi? I log out 18 times a day and it's infuriating",,,,,,,,,,,,,,,,,,
Hi @AppleSupport Received this email and it looks a bit dodge to me! Are my suspicions correct? Ta!!,,,,,,,,,,,,,,,,,,
"@AppleSupport Quick question, is it possible to do engraving on iOS devices with Arabic characters?",,,,,,,,,,,,,,,,,,
@AppleSupport When will a fix be available to stop is appearing as I.S?,,,,,,,,,,,,,,,,,,
@AppleSupport my iPhone 7 Plus volume display keeps showing up despite my phone being idle any suggestions? Happened since update,,,,,,,,,,,,,,,,,,
@AppleSupport is the option to send an automatic out of office email gone with ios11?,,,,,,,,,,,,,,,,,,
@SpotifyCares Why is there a limit? It's music. There should be unlimited access. Does @115948 limit the user in this way? @AppleSupport come flex,,,,,,,,,,,,,,,,,,
"@applesupport dear apple support my iphone storage almost full but full in other, can u tell me why?",,,,,,,,,,,,,,,,,,
Hi @AppleSupport do I really have to buy a third charger lead for my Mac book Pro at vast cost now second has failed? #amateur,,,,,,,,,,,,,,,,,,
unlocked my phone and noticed i lost all my fkn photos @AppleSupport care to explain why this has happened???,,,,,,,,,,,,,,,,,,
@AppleSupport my Apple Watch was stolen a week ago is there anything you guys can do to help?,,,,,,,,,,,,,,,,,,
@AppleSupport My Iphone keeps shutting itself and the apps down and sometimes it randomly turns itself out??? help,,,,,,,,,,,,,,,,,,
@AppleSupport hello when I try to open a text the screen goes blank and takes me back to the home page. Can you help?,,,,,,,,,,,,,,,,,,
@AppleSupport hey are u sure the DJI spark fly more combo u sell doesn't come with a remote?,,,,,,,,,,,,,,,,,,
@AppleSupport darker screen and dim horizontal lines across screen after iOS 11.0.3. Is this a common issue?,,,,,,,,,,,,,,,,,,
"@AppleSupport bonjour , depuis la maj iOS 11.0.3 mon iPhone6+ fige et le clavier est lent. Solution ? #obsolescence",,,,,,,,,,,,,,,,,,
@AppleSupport Is it possible for Series 3 watch to pair with Bluetooth in my car?,,,,,,,,,,,,,,,,,,
@AppleSupport I got a 6s phone. Can we change this with 7 plus? I can give the difference,,,,,,,,,,,,,,,,,,
Anyone else having @AppleSupport issues with their #iphone6 cutting off outbound text messages?  Started with the new iOS upgrade.  Ggrrrrr.,,,,,,,,,,,,,,,,,,
@AppleSupport my #iphone6s with #ios11 is far slower and less responsive than any of my previous 2yo iPhones. What gives? @115858,,,,,,,,,,,,,,,,,,
The number of times my #iPhone freezes everyday after updating to #iOS11 is ridiculous. Thinking about switching to #droid @AppleSupport ??,,,,,,,,,,,,,,,,,,
@AppleSupport No unfortunately it wasn't synced. But I didn't have a lot of storage so I'm guessing they got deleted so my phone has more free space ??,,,,,,,,,,,,,,,,,,
"@AppleSupport hello, can you recommend me some great antivirus for mbp macOS sierra? thanks for advance",,,,,,,,,,,,,,,,,,
"@AppleSupport updated to ios 11.0.2 now my phone is frozen!cant restart/turn off, its jut stuck! cant use/click on any icons, nothing works?",,,,,,,,,,,,,,,,,,
"@AppleSupport just updated to #iOS11 and whenever I unlock phone or open an app, everything wants to start in landscape - phone is upright?",,,,,,,,,,,,,,,,,,
@AppleSupport how do I report if another person is trying to access my Apple account from another country?,,,,,,,,,,,,,,,,,,
"@115858 @AppleSupport now allow stupid Apps to charge my acc without my permission, Wat kind of world class security are you providing ?",,,,,,,,,,,,,,,,,,
@AppleSupport my battery issue has not been resolved. I went to the Apple store and you guys wanted to charge ME $100 for YOUR defect ? NoTY,,,,,,,,,,,,,,,,,,
@AppleSupport Any update?,,,,,,,,,,,,,,,,,,
@AppleSupport My IPhone has been frozen for over 12 hours with a message from 81 days ago... it won't shut down or anything. what do I do?,,,,,,,,,,,,,,,,,,
Hello @AppleSupport I've sent you a DM can you help please ?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, I had my 6S+ battery replaced @ my local Apple Store over the weekend. Now, my front camera doesn't work. Suggestions?",,,,,,,,,,,,,,,,,,
@AppleSupport Version 11.0  Been reluctant to update to 11.0.1 or .2 or .3 based on reviews. Battery bug fixes?,,,,,,,,,,,,,,,,,,
Nieuwe #iphone 7 gevonden. Met account(afgeschermd) en zoek mijn iphone staat aan. Na maanden nog geen bericht. Tips? #apple @58389 @2446 @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport my alarm does not go off on time. All sounds are on and maxed out, yet they dont go off till i check my phone. Whats the prob?",,,,,,,,,,,,,,,,,,
Hi @AppleSupport I wanna know: why if I downloaded the new IOS11 the battery on my phone is running faster? What should I do to stop this?,,,,,,,,,,,,,,,,,,
@AppleSupport since the new update my WiFi is going off on its own . What should I do?,,,,,,,,,,,,,,,,,,
"@AppleSupport I know, but the chat window is blocked as I am currently in Europe... Still shipping to US home though! Do you have a general idea? :)",,,,,,,,,,,,,,,,,,
@applesupport Hi! How long is delivery time if I want to order a Macbook with a Swedish keyboard to a US address? Thanks!,,,,,,,,,,,,,,,,,,
"How do i delete ""ghost"" albums on my iCloud?albums are empty and deleted on my device but still appearing on my iCloud @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport Any way to check the overall battery health of my iPhone 7?,,,,,,,,,,,,,,,,,,
"@AppleSupport I can log facebook from the web version, but not in the IOS app (11 version). What shall I do?",,,,,,,,,,,,,,,,,,
@AppleSupport @AppleSupport I reset and resinstalled macos high sierra because my iMac stopped at power up but the problem did not resolve. How can I do?,,,,,,,,,,,,,,,,,,
@AppleSupport Having lag issues with some apps on my iPhone 6 plus after upgrading to ios 11.0.3. Any solutions?,,,,,,,,,,,,,,,,,,
@AppleSupport can i ask something? why my iphone 6s has ghost touch issue since i updated it to ios 11.0.3 the parts is still original tho,,,,,,,,,,,,,,,,,,
@AppleSupport hi could you clarify compatibility of Apple TV  3rd gen with iPhone 5s?,,,,,,,,,,,,,,,,,,
@322943 @AppleSupport Why Does the update cause you to buy a new phone?,,,,,,,,,,,,,,,,,,
@AppleSupport how do I stop Siri and search from turning back on inside my apps? I turned it off in nearly every app and went back in to find it turned back on. Even with Siri and search turned off I have to go through every app.,,,,,,,,,,,,,,,,,,
Hey @AppleSupport why do custom lyrics added in iTunes not survive syncs to iOS devices?,,,,,,,,,,,,,,,,,,
Ive been stuck on the same screen for 3 hours with no progress trying to update my iphone. Who the hell can help me?! @AppleSupport @115858,,,,,,,,,,,,,,,,,,
"@AppleSupport thought the Apple Pencil was supposed to fully charge in 6 mins?? Mines been plugged into my iPad all night, and is on 42%...",,,,,,,,,,,,,,,,,,
what happen with app store? its not working @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport need support for iPhone (not working).  case: 100327834514  can someone chat or FaceTime me?,,,,,,,,,,,,,,,,,,
@AppleSupport Is there a limit on that?,,,,,,,,,,,,,,,,,,
@AppleSupport I meant: is there a limit on my Mac storing the backups on the internal HDD till it can backup to my external disk?,,,,,,,,,,,,,,,,,,
@AppleSupport I want to know whether my Mac stores Time Machine backups when I don't backup for periods of time??,,,,,,,,,,,,,,,,,,
@AppleSupport That does not work. How long is it going to take for us to get another software update?????????,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 why in the hell is the new update still not allowing new emojis to be seen?!?!,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport Or an exclamation point or number sign or boxed things?????,,,,,,,,,,,,,,,,,,
Umm what do the question marks mean @AppleSupport ??,,,,,,,,,,,,,,,,,,
@AppleSupport why does my phone keep turning brightness down on its own? With my sight this is frustrating.,,,,,,,,,,,,,,,,,,
"@AppleSupport thx!but then as soon as i use it once with toggle, keeps coming on when i don't want it again or i need settings AGAIN? how is that helpful?",,,,,,,,,,,,,,,,,,
@AppleSupport after update iphone automatically turns on wifi? everytime i turn on/return from airplane mode WHICH I NEVER WANT. PLEASE FIX,,,,,,,,,,,,,,,,,,
Wasn't iOS 11 supposed to finally move the volume indicator that covers up the whole screen?  Is there some option I need to turn on? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport when I have an appointment with geniusbar...do I need to bring my phonecontract?,,,,,,,,,,,,,,,,,,
"@AppleSupport SIM input was broken and i try to run my phone without SIM but i can't , is there a way to do that ?",,,,,,,,,,,,,,,,,,
@AppleSupport i have iphone 5 Can i run it without SIM ??,,,,,,,,,,,,,,,,,,
"@AppleSupport where is the ""show as busy"" setting in MacOS Sierra's calendar?",,,,,,,,,,,,,,,,,,
@AppleSupport if I drop my 7 plus in the bath will it survive?,,,,,,,,,,,,,,,,,,
@AppleSupport @323498 Did @AppleSupport solved the problem?,,,,,,,,,,,,,,,,,,
@AppleSupport Can you tell me how to do it without losing any data ?,,,,,,,,,,,,,,,,,,
"@115858 @AppleSupport After iOS 11 updates,Iphone 6+ getting very slow.Have any remedies to solve this ASAP?This was not expected from apple.",,,,,,,,,,,,,,,,,,
"@AppleSupport plz advice what is status about performance of SE 32 gb after updating iOS11, is it getting more slow and battery consume ?",,,,,,,,,,,,,,,,,,
"Hey @AppleSupport , my iPhone 6 will not connect to LTE. This happened only after I updated it to IOS 11. Help?",,,,,,,,,,,,,,,,,,
@115858 @AppleSupport hey when are you guys going to put out a new update that will fix the damage of the last one?,,,,,,,,,,,,,,,,,,
@AppleSupport did iOS 11 remove the option to display RSSI?,,,,,,,,,,,,,,,,,,
"@AppleSupport hi, I have been trying to change my store front since for 36 hours, can you help?",,,,,,,,,,,,,,,,,,
@115858 @AppleSupport what is wrong with you people ? Seems I have to switch to android after 9 years. #apple_not_loyal_to_existing_customers,,,,,,,,,,,,,,,,,,
@AppleSupport  why is my iPhone 6S which is 6 months old going from 100% to 10% battery in 3 hours whilst only listening to music on ios11??,,,,,,,,,,,,,,,,,,
@AppleSupport Hi. My iPhone decides whenever to change my privacy settings and to block my caller ID. Since IOS change. What can I do ?,,,,,,,,,,,,,,,,,,
So my iPhone just starting beeping at me like a fire alarm!! WTF?! Anyone else had this before? @115858 @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport Having issues since #iOS11 with @4305. Not receiving all message notifications until I open the app, any reason for this?",,,,,,,,,,,,,,,,,,
"Ma rilasciate una volta buona una versione del software come si deve? E si parla di un iPhone 7, non di versioni vecchie. @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport airplay not working for ios11!how?,,,,,,,,,,,,,,,,,,
"@AppleSupport I forgot my restrictions code, how do I reset it so I can remove it?",,,,,,,,,,,,,,,,,,
"Soooo can I like, un-update my phone or something? Because this update has my phone tweaking heavily @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport restore from iCloud backup should have my photos..correct ?,,,,,,,,,,,,,,,,,,
Nada de mapas no CarPlay? @115858 @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport I spoke to apple care yesterday and was told an email will be sent within 24 hours and it hasn't? #applehelp,,,,,,,,,,,,,,,,,,
@AppleSupport my alarm failed for the 3rd time this morning. The failures seem random. Does 11.0.03 address this?,,,,,,,,,,,,,,,,,,
@AppleSupport is it possible to access Apple Notes on an android or blackberry?,,,,,,,,,,,,,,,,,,
@AppleSupport Was refused collection in one of your stores today because I'm not the card-owner. How am I supposed to order for my employer?,,,,,,,,,,,,,,,,,,
@AppleSupport set an alarm last night for this morning and it set to a silent alarm.. why does that happen?! #nothappy,,,,,,,,,,,,,,,,,,
"@AppleSupport Hey! I can't use my phone, it says that ''Sim not Valid'' how to fix this? I'm so pissed since yesterday.",,,,,,,,,,,,,,,,,,
@AppleSupport Settings in Safari?,,,,,,,,,,,,,,,,,,
@AppleSupport you can have several fingerprints to open iPhones can the X have a number of faces to unlock it?,,,,,,,,,,,,,,,,,,
@AppleSupport After upgrade iPhone6 to 11.1 the calls history has disappeared ! What is the explanation ?,,,,,,,,,,,,,,,,,,
