TYPE,TEXT
HARDWARE,"I upgraded to iOS 11.2 because I got hit by @115858's notifications bug (disabling app notifications between crashes was fun), and now my phone won't start, won't hard reset, won't DFU, nothing. It just displays the red battery icon. @AppleSupport I can't be the only one, right?"
NETWORK,@AppleSupport WHY DOES MY WIFI TURN ON WHEN I DONT WANT IT TO!???? WHAT IS THIS NONSENSE!?
HARDWARE,@AppleSupport smoke and burning smells coming out of daughter's laptop thru' keyboard). Screen gone black. No unusual activity. Any thoughts? Many thanks.
NETWORK,@AppleSupport so is Apple Pay Cash live or not??? I should not have to go to internet forums to find an answer.
HUMAN,@AppleSupport my friend lost his iPhone today. Any ways to track the location?!?! #HelpNeeded @115858 @115858
COMPLAIN,@AppleSupport who's bright fucking idea was it to make the process for 'forgot password' to enter the password I forgot. Are you stupid???
HARDWARE,@AppleSupport phone battery working fine. Download IOS11.0.1 battery goes from 100% to 35% in 30 minutes use. Any fix?
HARDWARE,"@AppleSupport IOS 11 is the best software that came out, but god damn it drains battery. Any suggestions?"
HARDWARE,@AppleSupport Hi. Is there any way for me to know about the battery health of my iPhone 6s plus? Thank you in advance!
HARDWARE,@AppleSupport  what is the point of buying such expensive phones when within a year the phone starts freezing and switches off on its on ? Very annoying
HUMAN,How do I get tech support from @AppleSupport for my dead @115858 phone when I need the verification code sent to my (dead) phone in order to even contact support or make a Genius Bar reservation? This is a twisted web you've woven.
HARDWARE,@AppleSupport hey ? My SS Space Black Apple Watch has micro scratches on the screen? This suppose to happen? I thought it was durable?
HARDWARE,"@AppleSupport we. Are you going to fix the multitude of problems you have caused with your latest o/s update?! Slow / unresponsive apps, finger print recognition not working for some apps now, battery draining in half a day. Version 11.1 has been a disaster."
HARDWARE,"What's happening with #iOS 11.1.2? My #iPhone6 battery seems to be draining faster than it can charge, plus Clock keeps crashing for some reason, and the entire OS just crashed on me too. @115858 @AppleSupport"
NETWORK,why is wifi not automatically connecting when i come home? which location service do i need to enable? @AppleSupport
HARDWARE,@AppleSupport why does the new update drain the battery so quick?!?
HARDWARE,"@AppleSupport Hey Apple, can you check my battery health on my iPhone 7 Plus? It seems to be losing charge quickly, lately.."
HARDWARE,@AppleSupport @266993 Hi Apple why have you still not fixed my battery issue?
HARDWARE,@115858 @AppleSupport can someone please tell me why my screen just turned purple and then my phone shut down? it won't turn back on. i haven't even had this phone for 2 years #wtf
ICLOUD,@AppleSupport again i restored my iPhone through iTunes and now its downloading my backup from iCloud (( taking very very very long time )) but really i would like to know when will the new update that will fix that problem once and for all will be released ??
HARDWARE,@AppleSupport can you wireless charge the battery of the iPhone 8 if you have a bookcase around the iPhone 8???
ICLOUD,"@AppleSupport how does the iCloud Photo optimization work? I have 200 mb of free space on my device, 3.5 gb is Photo library and... nothing happens. It suggest me to delete apps, clear messages and nothing more."
HARDWARE,"@AppleSupport my smart battery case stopped working, what is the warranty period on these?"
COMPLAIN,So my Apple Watch series 3 screen has separated and the ONLY way to get it sorted is to fly from Italy back to the UK!?!? Really @AppleSupport ??This is unacceptable and unbelievable.
HARDWARE,Why does my phone battery die in 10 minutes?? @AppleSupport
IOS,"@AppleSupport in High Sierra ""portion-screenshot"" has a lower DPI (or sensitivity) than normal mouse actions. Anywhere I can change this?"
NETWORK,@AppleSupport why have you removed the ability to turn off WiFi/Bluetooth when you swipe up? It now just disconnects but leaves the feature on
HARDWARE,Anyone else with a Gen 1 Apple Watch notice battery life drop off significantly since the update? @AppleSupport @115858 #iWatch
HARDWARE,@AppleSupport : Please DO NOT destroy my photos. Apple Verification Code?I have not slept since Monday - I have two phones-was2buyNEW.
IOS,@AppleSupport holy shit...the new iOS fucks up everything. Are you trying to screw this thing up? @318
HARDWARE,"@AppleSupport Hi, trying to fix my iphone 6 stuck on apple logo with ios 11.1.1, i tried to downgrade it to 11.0.3 and when finished it stuck on ''iphone is disabled connect to itunes'' with no carrier logo or battery logo or anything just that, any help please??"
NETWORK,Hey @AppleSupport why is wifi really slow on one network on my iPhone X? All other networks and cellular work fine and the slow network is fast on other Apple devices. Also seems to get slightly faster when mobile data and Bluetooth are off.
HARDWARE,"Has anyone else noticed decreased battery life with iOS 11? Mine seems to be running out _much_ faster. Could be age of the phone, but it's only a 2y-old 6S+.@AppleSupport"
HARDWARE,@AppleSupport @271136 Same here with my 6 Plus. It hates this new update with a passion. And my battery life is now awful (?)
NETWORK,@AppleSupport Which will be 3 weeks time so no other way to update unless through WiFi???
IOS,@AppleSupport why is my 6S plus dimming and screen brightness going all the way down to 0 on its own?
COMPLAIN,"@AppleSupport Can the Apple watch work without a iPhone, a Best buy rep told me they had to be connected?"
NETWORK,"@AppleSupport Why is it when using the control center to shut off WiFi or Bluetooth, it doesn't turn off.  When you go to settings there still on?"
HUMAN,"@AppleSupport Legally speaking, can i use @115858 's logo to put it in a public poster ? Goal is to make people coming in our next school conference ""buying guide for christmas"" ? Will be discret and next to other's logos"
HARDWARE,@AppleSupport Since most recent update my iPhone 7 phone has been burning through battery life. What gives? #apple #iphone
COMPLAIN,"@AppleSupport 2/2 the phone from the service, I've reported through mail that the screen appears to squeak when pressing a bit harder the screen on the left side. Had no answer from the technician. Now I was offered a $482 offer of replacing the iP. Is there any higher authority or it's over?"
ICLOUD,@AppleSupport If I stop iCloud and have the pics moved to my laptop will those pics be deleted?
HARDWARE,@AppleSupport latest update to 11.0.03 has destroyed my phone. Can I just go back to iOS10? Phone unresponsive and lags and battery is crap.
COMPLAIN,@AppleSupport I upgraded to 11.0.3 and now the clock has disappeared from my lock screen?!??
PURCHASE,"@AppleSupport Hey, would a student with no current occupation be able to buy the iPhone X in the UK on the upgrade program using savings?"
HARDWARE,@AppleSupport @115858 @116333 still silent and FAILING to fix terrible iOS 11 battery life. Where is the LEADERSHIP Apple used to be known for? @122609 never looked better.
NETWORK,@AppleSupport how do I stop my iOS 11 phone from connecting to every goddamn Bluetooth and WiFi network that I walk by?
HARDWARE,".@AppleSupport iPhone battery now so bad, that I have to carry round a spare battery. When is this being fixed? #iphone #worstbattery #unhappycustomer"
HARDWARE,My iPhone battery dropped 12% in 1 minute. Is this a joke? @AppleSupport get it together
APPS,@AppleSupport why do I have a crackling noise sometimes while watching YouTube only?
NETWORK,"@AppleSupport Turning off WiFi? You're kidding me, are you? Then I will not get App updates anymore and eat up my Data-plan and get pestered by location services that complain about WiFi being off and accuracy being worse because of that.Thanks, I'll leave Feedback."
HARDWARE,@AppleSupport Can the series 3 cellular Apple Watch receive texts/calls from your number when your iPhone is out of battery?
HARDWARE,Since #ios11 has anyone else noticed that their touch screens in the upper top left hand side is very temperamental? @AppleSupport
HARDWARE,"@AppleSupport my iPhone has a weird white/grey line that goes from the bottom to the middle of the screen, and the volume box is stuck in the middle of the screen. How do I troubleshoot/fix this?"
ICLOUD,"Dear @AppleSupport, my phone is no longer with us RIP but I continue to pay for iCloud storage. Why are there no obvious online links to downgrade this service? Do I just have to wait till my credit card expires?"
HARDWARE,"@AppleSupport can I get help checking the battery health of my iPhone, please?"
ICLOUD,@AppleSupport   Como puedo borrar fotos de iPhone sin que se eliminen de la fototeca? No quiero que se eliminen de mi cuenta de iCloud
PURCHASE,Anyone know if @115858 @AppleSupport exchanges the long wires that you buy in the store?
HARDWARE,@116333Since I have updated to iOS11 Battery life is only 6 Hrs. Nothing change even after all @AppleSupport .When @115858 is solving it?
HARDWARE,@AppleSupport Battery is draining 100% to 0% in less than 10 min. Is this a known issue?
HARDWARE,@AppleSupport I have the iPhone X and the battery takes FOREVER to charge up...Is something wrong with the phone?
COMPLAIN,@116333 @AppleSupport @115858 when will apple fix the issue with the screen not turning off automatically? It is REALLY GETTING ANNOYING TO RESET THE PHONE EVERY OTHER DAY . FIX YOUR BUG PRONE SOFTWARE ALREADY !!
COMPLAIN,new iphone in case. dropped - screen splintered. what is the point of a case @AppleSupport ?
ICLOUD,@AppleSupport can you pay for icloud storage using an apple gift card? like if i have $15 in my account can i use that to pay
HARDWARE,soooo I got my screen fixed but my phone is disabled and won't connect to iTunes and all these Tmobile stores don't know wtf they're doing. Where's @AppleSupport ?
IOS,@115948  @AppleSupport @115858 HEY APPLE I DECIDED TO DO THE UPDATE THAT RECENTLY CAME OUT AND AFTER IT WAS DONE IT SIGNED ME OUT OF APPLE MUSIC AND I LOST ALL MY APPLE  MUSIC SONGS (not the ones I have purchased)THAT TOOK ME HOURS TO DOWNLOAD! HOW DO I GET IT BACK?!?
HUMAN,@AppleSupport Who can i chat with to help fix my phone? I restart my phone and now its disabled. Step it up you fucking clowns
HARDWARE,@AppleSupport my battery life has been horrible since I updated to iOS 11. Will there be a fix coming for this?
HARDWARE,@AppleSupport Why is my Apple rechargeable battery charger light blinking amber?
PURCHASE,@AppleSupport is the X phone available to buy from stores yet?
COMPLAIN,Screen recording is actually useless does anyone have problems with it? @AppleSupport
HARDWARE,@278959 @AppleSupport 1. did you charge it? it could be dead2. try removing the battery (im on android so idk if apple has a removable battery) and putting it back insorry if neither of these help
COMPLAIN,"Never buying a Mac again. New computer, been nothing but probs after sending back and getting worked on. Now screen doesn't work, why not give me new computer? @AppleSupport @115858 @156471"
NETWORK,@AppleSupport why when i turn my WiFi off does it suddenly come back on?? Fix this.
PURCHASE,@AppleSupport can you use iTunes credit to purchase in apple store? Looking to buy printer paper
HARDWARE,"Since the update, do @AppleSupport actually expect us to use our phones ?!?! Shortest shittest battery ever. #WheresThePlug #NeedACharger"
ICLOUD,@AppleSupport My iPad was stolen in January. Now its iCloud Backup has been deleted. How can this be?
NETWORK,"@AppleSupport My phone says ""Searching"" in top left corner. Will not let me text or call unless connected to Wifi. Can you help?"
HARDWARE,@AppleSupport any way to check the overall battery health of my iPhone 5s?
ICLOUD,@AppleSupport hi how can I have my current email address as my new icloud account?
HARDWARE,@applesupport is the battery draining fast on iOS 11 already fix on latest update iOS11.02?
HARDWARE,@AppleSupport I have noticed a huge dip in my battery life since the new update. Any known issues on this?
HARDWARE,how is that I have a new iPhone 8+ and my battery is at 49% already when I left three hours ago it was at 75%? Fix your shit @AppleSupport
HARDWARE,Hi @AppleSupport how do I check the battery health for my iPhone 6s Plus? Can I do it online or over the phone?
ICLOUD,"Dear @115858 @AppleSupport do you think anything else about iBooks app?? After every beta update, some documents are not come from iCloud"
HARDWARE,@AppleSupport  why the fuck my battery dying at 30%???
COMPLAIN,@AppleSupport why tf does my phone restart 6 times a day and freezes every hour?!?!? Never again buying ya shit phones
ICLOUD,"@AppleSupport I sold my iPhone and set it to factory setting. Now, the buyer still needs my Apple ID to sign in. Is there anything I could do?!"
NETWORK,@AppleSupport why does my WiFi keep turning itself on? iOS 11 glitch?
HARDWARE,Getting really pissed off - a perfectly good phone is basically useless after #iOS11 updates. Everything is so damn slow now and my battery is shit. @AppleSupport any ideas?
HARDWARE,@AppleSupport my BF had iPhone screen replaced 3 days ago just realised it's on at an angle. Do we just have to go back to @115858 store?
HARDWARE,"@AppleSupport iOS11.1.2. causing major headache on iP6S, battery life slashed to approx. 4-5hrs of moderate usage, many apps crashing or having trouble launching, touch screen constantly unresponsive or lagging (regardless of app). Will this be addressed in next update? Thank you"
HARDWARE,"@AppleSupport Hey, what's the price to have an iPhone 6 screen replaced and can it be done in store?"
COMPLAIN,@AppleSupport Screenrecordings on iOS result in a nice compact mp4 file. Screenrecordings on macOS still turn into a large incompatible mov file. Or is this a setting somewhere?
NETWORK,@AppleSupport @118721 what's the meaning of error (-41) on iTunes? It's showing up when i'm backing up my device with iTunesI have no result on internet with this error codeWindows 7 32 bit SP1iTunes 12.6.3iPhone 5s iOS 11.1.2(15B202)
HARDWARE,"@115858 @AppleSupport - how come every time you release a new phone, mine always slows down, freezes and the battery lasts 10 minutes? #loadofshit   @125607  what deal can you give me?"
ICLOUD,@AppleSupport some amount of photos constantly disappear after I log out my iCloud account. How can I find them again?..
HARDWARE,"@AppleSupport With iOS11, when I try to use the AirPlay, the screen freezes for some seconds, like 50~100s. Using iPad mini 2. Can I do anything to solve?"
NETWORK,"@AppleSupport It's actually an ipad pro 9.7. And from what I read it only disconnects when I toggle the WiFi button on control center, right?"
HARDWARE,@AppleSupport hi is there any way to check the overall battery health of my iPhone 5s?
ICLOUD,"@AppleSupport why is #icloud so slow when downloading from #iCloudDrive, can only get 15mbps on my 55mb connection?"
HARDWARE,"@AppleSupport Hello, I am getting some serious battery drain issues after updating to 11.1.2. Any fix in the horizon?"
NETWORK,@287493 @AppleSupport Dear God. This happened to me yesterday except mine shows a cross icon. Did you get it fixed? I called Apple support and was told that my internet connectivity wasn't good enough while the update took place so it corrupted the system. Don't know how *that* is supposed to work.
NETWORK,"@AppleSupport Since updating to iOS 11,Music app's been crashing if i'm connected to wifi. What should i do?"
HARDWARE,@AppleSupport updated the software and now my battery drains in less than 2 hrs. What gives??
HARDWARE,@AppleSupport Got any battery cases for iPhone 6s Plus ? My Chinese copy is dodgy
IOS,"Hi @AppleSupport, how can I get rid of iOS11 off my 7? Alternatively, how can I get rid of the clusterfuck that is the new Podcast app?"
HARDWARE,@AppleSupport why is my 3 year old iphone 6 battery better than my 8 plus?
HARDWARE,@AppleSupport updated to ios11.1 beta 2 and my battery died last night *while plugged in to the charger* huh?
COMPLAIN,"@AppleSupport Now I can't answer calls, screen still buggy as f. Why is iOS11 so terrible?"
ICLOUD,"@AppleSupport I got a work computer. I logged into iCloud for calendar, now every account I have shows up, how do I remove other accounts?"
HARDWARE,@AppleSupport I think there might be something wrong with my iPhone 7 Plus battery. It's dying quickly. Possible to run remote diagnostic?
ICLOUD,@AppleSupport Can't u shut down scams like appleassist(dot)me? Got a robocall that directed me to an offshore agent trying to get my iCloud.
NETWORK,@AppleSupport I woke up one morning to find that my #wifi button just won't turn on and my Bluetooth won't connect ??
HARDWARE,@AppleSupport @115858 Cont... d service center representative informed me tht if I change my iPhone battery then it will create hardware issues. Is it true? (2/2)
HARDWARE,@115858 @AppleSupport Whats up with these faulty updates? IOS 11.0.2 battery life sucks
HARDWARE,"@AppleSupport @115858 @116333 Only reason I use apple is because of good battery life and no lag, which not there in android. But iOS11 ???"
HARDWARE,"@AppleSupport Hi guys, I upgraded to IOS 11.0 2 on an iPhone 6s and the battery drains in about 60 mins? Can you help?"
HARDWARE,"@AppleSupport phone worked perfect b4 update, now freezes, bad battery, keyboard choppy, podcast freeze, um, ready to buy android. Help?"
HARDWARE,@AppleSupport this new update is bad. Dropped 10% battery in an hour on standby?! Plus so many bugs! This is really poor guys.
HARDWARE,"@AppleSupport the last update of IOS 11 consumes the battery like crazy unlike the the older one, what shall i do?"
HARDWARE,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash."
NETWORK,"@AppleSupport Hi, after updating to iOS 11 the WiFi on my iPhone 7 keeps turning itself on, even after I turn it off again. Known issue?"
HARDWARE,Hey @AppleSupport why is it that my iPhone screen sometimes goes blank and I have to restart?
HARDWARE,"@AppleSupport why when  i was done update software iOS 11 ,Make my iPhone is hot ? Why this is bug ? Battery is wasteful ?"
HARDWARE,@AppleSupport my iphone's screen stopped responding in the middle of nowhere as if it got busy. its been 15 long hours yet NO hope. how come?
HARDWARE,@AppleSupport since iOS 11 update my smart case will randomly disappear and phone won't use its battery? Why?
PURCHASE,@AppleSupport How can I buy a MacBook while in Australia but with invoice for a Slovak company. Is there no way? #help please!! #urgent
NETWORK,"@AppleSupport If I turn off the WiFi in control center, it'll automatically turn on at 5 AM.To disable it completely, I'll hv to go into settings. Right?"
IOS,@115858 @AppleSupport Why in the new iPhone IOS does screen brightness constantly change?   How do I set it to one level and keep it there?
HARDWARE,@AppleSupport The new update is terrible. Left the house at 90% battery life in 20 minutes I went down to 20%. Wtf Apple?
HUMAN,@AppleSupport @297216 What u will doing by asking dm to user?? When ios 11 is itself shitty what will u do. Pls ask tim cook to repair n fix this issue
NETWORK,@115858 @AppleSupport Is it because my phone won't update my network is trashed? #help #help #help
HARDWARE,@AppleSupport My screen has been malfunctioning and my phone has been running slow for the past few weeks. What is the reason for this?
HARDWARE,@AppleSupport any reason why my iPhone battery has been considerably worse since I downloaded iOS 11?
APPS,@AppleSupport bought a new iPhone.  Lost all my music. Is there a way to see my previously downloaded music so I can quickly re download it all?
HARDWARE,"@AppleSupport there are a lot of issues after the ios 11 update, when will they be solved? Most important the fast battery drop,Very enoying"
PURCHASE,"@AppleSupport If I were to buy a replacement SSD for my iMac Retina 5k, can I get the store to replace it for me?"
COMPLAIN,why have I lost all my photos now @AppleSupport ??? U guys are dodgy man
NETWORK,"Hey @AppleSupport, is it normal that the new iOS has WiFi connectivity issues? (iPhone 7+)"
NETWORK,@AppleSupport hey guys can you help me? My iPhone cannot detect WiFi which needs authentification before connecting
NETWORK,@AppleSupport Siri is off... is it being on required for transcripts to work? I have been getting transcripts voice mails since iOS 11 day 1 WiFi and cell
ICLOUD,@AppleSupport please confirm if i use a shared icloud storage of 200 for two different itunes accounts their photos will not merge i to one?
APPS,@AppleSupport  why can't I use the music controls on my lock screen or dashboard when Apple Music is playing?
HARDWARE,"@AppleSupport Hi, are you going to fix the HUGE battery drain issues on iOs 11? I have the latest 11.0.2, iPhone 6 Plus 64 GB. Please fix it"
IOS,@AppleSupport Also why does it have 2 volume controls on screen?
HARDWARE,@AppleSupport  How about #wifi and #bluetooth always activating for no reason ?!!! But most importantly the #battery issues ?!! #iOS11
NETWORK,"@AppleSupport Hi Apple! My Iphone 5s (IOS 10.3.3) won't connect to the internet, even after I've reset the Network Settings and I know our internet is working. Any suggestions?"
IOS,Having to soft reset my #iPhone8Plus at least once a day due to an unresponsive home screen. Anyone else? @AppleSupport
HARDWARE,@AppleSupport how about battery life and non disappearing apps on home screen. How about that? Come on Apple... #ForcingUpgrades
ICLOUD,@AppleSupport every single one of my photos in iCloud is super blurry and shows a (!) in the bottom left. Why?
NETWORK,"@AppleSupport No problem I write English. Why does my iPhone 6, since last update 11.0.1, launches automatically WiFi and Bluetooth?"
COMPLAIN,@AppleSupport In iOS 11 where is the 3D Touch gesture where you firmly press the left side of the screen to enter multitasking??
APPS,Yo why the fuck is music skipping in my phone like I got a scratched ass CD ?????? @AppleSupport fuck is y'all on
HARDWARE,@AppleSupport Cud u tell me apple offer only 12 hours of usage time for any iphone? Wondering why battery capacity was reduced in #iphone8
HARDWARE,"@AppleSupport why has the latest update fucked up every single feature on my iPhone 7? Worse battery life, can't run more than 1 app at once"
ICLOUD,"@AppleSupport I need to delete pictures that only show up on Apple TV but were taken on my iPhone, but when I go into icloud it doesn't show them ?"
HARDWARE,@AppleSupport @300948 Does iOS 11.0.3 fixes battery issues?
HARDWARE,@AppleSupport Thanks for informing abt new update but it has fixed for 7 and 6s and not battery related issue mentioned. Do u think it will solve??
IOS,"@AppleSupport just tried the latest ios11 software update on my iPhone 7 and now my phone is stuck on the download screen, can you help???"
HARDWARE,@AppleSupport any way to check the overall battery health of my iPhone 7+?
HARDWARE,@AppleSupport have you worked out why iOS 11 is draining my battery?
HARDWARE,@AppleSupport Is there ANY solution to fixing my iPhone 6 battery life? It has become absolute horrible. I can't make it past mid noon...
ICLOUD,@AppleSupport seems my iCloud was hacked and my iMac has been locked with a code over find my phone. How do I unlock it!?
ICLOUD,@AppleSupport How do I create a sharable URL for a Icloud Drive folder?
HARDWARE,@AppleSupport Honestly 11.0.2 is draining my iPhone battery like anything. What happened to @115858??? #ios1102 #iOS11
HARDWARE,"Hating #iphone6 after OS update. Hangs, shivers, gulps battery, troublin internet. @AppleSupport help? Or u want to sell #iPhone8 only!"
ICLOUD,"@AppleSupport Yes just changed to iCloud but none came back, any other advice? Thx"
IOS,Woah...what have @AppleSupport done to my phone since downloading the latest update  ?maybe you want us all to buy a new phone !?
HARDWARE,"The new iOS update is appalling. My iPhone battery went from 100% at 9am, to 20% at 13:20 to 13% at 13:24pm. @AppleSupport please respond?"
COMPLAIN,#IOS11 Worst IOS ever. My phone works like shit. How can you release this? You are @115858 @AppleSupport
HARDWARE,"@AppleSupport wow, after update awhile ago. How does my 7plus lose 7% batter just sitting next to me? This update drains battery!"
PURCHASE,@AppleSupport hi I just DM you.  I want to know if I can use 2 gift cards for recycled phone to buy a new one?
HARDWARE,"@AppleSupport No, actually i just want to check the overall battery health. Any suggestion of software?"
HARDWARE,@AppleSupport hi. Any way to check the overall battery health of my iphone 5C?
ICLOUD,@AppleSupport Photo disappears then reappears. Does it sync with iTunes if I'm not connected to my computer? My workaround is to disable iCloud.
HARDWARE,Anyone else have battery issues after 11.0.2 update? @AppleSupport
HARDWARE,@AppleSupport How does #applecare for iPhone X consider back glass damage? Screen Repair cost or Other Repair cost? @115858 @157399
ICLOUD,"@AppleSupport if someone calls my phone saying something about an iCloud breach, is it a scam?"
NETWORK,"@AppleSupport the new update has so many bugs. My speaker doesn't work half the time, 4G icon is on but the internet is barely working?"
HARDWARE,@115858 @AppleSupport when will the patch for Battery Drainage for iOS 11 be released? This year? Next year? Hating the iOS experience.
HARDWARE,My touch screen is too sensitive. Is it because of screen protector? How do I fix this? @AppleSupport
HARDWARE,@AppleSupport 1.5 hours usage on iTouch 6th gen with iOS 11 and battery nearly gone. No problems on iOS 10? Help?
ICLOUD,Why is it always so damn hard to get iCloud tabs working across all devices and instances of Safari? @AppleSupport
HARDWARE,@AppleSupport anyway to check the health of my iPad battery?
NETWORK,Why does iOS 11 keeping turning my WiFi on? @AppleSupport
HARDWARE,@115858 @AppleSupport what is going on with #IOS11? My iPhone became laggy and internet connection is terrible after updating it.
IOS,@AppleSupport have you already fixed the problem regarding the update of the latest versions? like screen freezes?
HARDWARE,@AppleSupport Hi I'm from Uk. I purchased a MacBook over a year ago. Is it still under warranty under U.K. Consumer law? I have a dead pixel
IOS,Anyone else experiencing apps crashing upon opening them and screen going occasionally black with IOS11? @AppleSupport @115858
ICLOUD,@AppleSupport Do you have a desktop application for Windows10 which manages calender on iCloud?I don't like Web app.
HARDWARE,Crazy battery life for 11.01. Ano na @applesupport ???!!!!!!!!!!
HARDWARE,"@AppleSupport The phone unlocks slower, hangs again and again, consumes a lot of battery, the notification feature is gone. What were you trying to do while developing this update ? @115858 @AppleSupport"
ICLOUD,"Dear, Apple, any way to fix the ""iCloud storage is full"" (but it is not) bug without making a call 8 800 30 772? @AppleSupport"
ICLOUD,@AppleSupport How to create a new local folder? Not inside iCloud. Only in files
HUMAN,"Hey @AppleSupport, is the bug report site down? Just keeps repeating the login screen, over and over again."
HARDWARE,"@AppleSupport I had update to ios 11.1, then I have a big problem The Battery Drawning. How to fix this problem?Help me please ...!"
NETWORK,@32034 @AppleSupport if someone is not getting their iMessages delivered. Is it my network. Is it theirs? Or is it something else?
HARDWARE,"Why is the wifi, time, and battery not showing at the top of my iphone 7 on the home screen ?  @AppleSupport"
HARDWARE,@AppleSupport can you help me check my battery health?
HARDWARE,@AppleSupport Hi - I updated my phone software last week but since then the battery life is awful. It has halved! What do I do?
HARDWARE,@AppleSupport my battery keeps dying fast because of the update. How do I fix this issue?
ICLOUD,@AppleSupport When signing into iCloud I get error connecting to Apple server ID. Please can you help? Thank you
NETWORK,@AppleSupport why won't my wifi stay off????
HUMAN,"@AppleSupport Probably, I have to pick up the phone somehow??? How do I make this stop? Why does touching the screen decline the call?"
ICLOUD,@AppleSupport is iCloud wiping photos and backups exceeding 5gbs after having downgraded from a paid tier normal?can't you just not add more
HARDWARE,@AppleSupport do you still offer the mail in battery replacement service on iPhone 5s? Will need it soon. Curious. Thanks
COMPLAIN,"Fucking Twitter and Facebook manage to sync the badges. Why do i have to keep deleting each iMessage 5 times, on each device, @AppleSupport?"
ICLOUD,@AppleSupport is Messages on iCloud not supported in sweden?
IOS,Hey @AppleSupport what the fuck is going on with my phone lol?! This update is trash!
NETWORK,@AppleSupport I did try it while connected to my own wifi. It still didn't work. On an unrelated note. Is there a way to u lock more storage on my phone?
COMPLAIN,@AppleSupport Random lag/stuttering. Momentary app freeze Control center/lock screen audio controls not working. 11.0.3 iPhone 7Plus. ?????!
COMPLAIN,"Hey @AppleSupport , my locked screen i8plus cant access the camera by swipe left on ios 11.0.3.. What happen..?"
HARDWARE,@AppleSupport @321041 Hey my battery has taken a compete nose dive since updating to iOS11. Can you help me out?
ICLOUD,My family has had so many issues with #icloud why does it have to be so hard? @AppleSupport your support page is useless #fixiCloud
HARDWARE,@AppleSupport Can you check the overall battery health of my iPhone 6 Plus? Thanks
HARDWARE,@AppleSupport Accidentally updated to new iOS on a 5s. Battery life is now just ridiculously short. Can I reverse update?
NETWORK,@AppleSupport why does logging out of wifi on the control panel not log you out of wifi properly? Why did you make that design decision?
NETWORK,"@AppleSupport How do I get your new iOS update not to constantly, constantly log me into wifi? I log out 18 times a day and it's infuriating"
COMPLAIN,Hi @AppleSupport do I really have to buy a third charger lead for my Mac book Pro at vast cost now second has failed? #amateur
COMPLAIN,unlocked my phone and noticed i lost all my fkn photos @AppleSupport care to explain why this has happened???
IOS,@AppleSupport hello when I try to open a text the screen goes blank and takes me back to the home page. Can you help?
IOS,@AppleSupport darker screen and dim horizontal lines across screen after iOS 11.0.3. Is this a common issue?
HARDWARE,@AppleSupport my battery issue has not been resolved. I went to the Apple store and you guys wanted to charge ME $100 for YOUR defect ? NoTY
HARDWARE,"@AppleSupport Hi, I had my 6S+ battery replaced @ my local Apple Store over the weekend. Now, my front camera doesn't work. Suggestions?"
HARDWARE,@AppleSupport Version 11.0  Been reluctant to update to 11.0.1 or .2 or .3 based on reviews. Battery bug fixes?
HARDWARE,Hi @AppleSupport I wanna know: why if I downloaded the new IOS11 the battery on my phone is running faster? What should I do to stop this?
NETWORK,@AppleSupport since the new update my WiFi is going off on its own . What should I do?
ICLOUD,"How do i delete ""ghost"" albums on my iCloud?albums are empty and deleted on my device but still appearing on my iCloud @AppleSupport"
HARDWARE,@AppleSupport Any way to check the overall battery health of my iPhone 7?
COMPLAIN,@322943 @AppleSupport Why Does the update cause you to buy a new phone?
NETWORK,Ive been stuck on the same screen for 3 hours with no progress trying to update my iphone. Who the hell can help me?! @AppleSupport @115858
NETWORK,@AppleSupport after update iphone automatically turns on wifi? everytime i turn on/return from airplane mode WHICH I NEVER WANT. PLEASE FIX
IOS,Wasn't iOS 11 supposed to finally move the volume indicator that covers up the whole screen?  Is there some option I need to turn on? @AppleSupport
HARDWARE,"@AppleSupport plz advice what is status about performance of SE 32 gb after updating iOS11, is it getting more slow and battery consume ?"
HARDWARE,@AppleSupport  why is my iPhone 6S which is 6 months old going from 100% to 10% battery in 3 hours whilst only listening to music on ios11??
ICLOUD,@AppleSupport restore from iCloud backup should have my photos..correct ?
IOS,"@115858 If i buy iPhone X facial recognition does not work at times, is there another way to turn on my phone? @AppleSupport"
NETWORK,@AppleSupport who thought up wifi #password sharing?  Sounds like device thieves.  That's an #unsafe feature. Can I turn that off?
HARDWARE,"@115858 @AppleSupport What gives with 10.3.3 and battery life!? Holy moly, guys!"
HARDWARE,@AppleSupport my iPhone battery is draining significantly faster after the update to IOS 11.0.3. Is there anything I can do to correct this?
HARDWARE,@AppleSupport My iPhone 6s battery drains really fast could you help me?
HARDWARE,@AppleSupport can you just turn up to Apple Stores to get your broken screen fixed?
HARDWARE,@AppleSupport @234782 Are u addressing the battery drain on 11.0.3?
ICLOUD,@AppleSupport Where is the iCloud drive on an iPhone?
ICLOUD,@AppleSupport what am I buying 2TB's of iCloud storage for? Where do I locate my things stored in the iCloud?
HARDWARE,@AppleSupport my iPhone 6 is nearly unusable since upgrade to iOS 11. Are you going to fix performance and battery drain?
APPS,@AppleSupport why won't iTunes shuffle anymore? It's says ask Siri to do it. Why did you screw up iTunes? I only buy iPhone for tunes. Fix?
NETWORK,@AppleSupport why does my WiFi not want to stay connected??
HARDWARE,@AppleSupport Why DM? Something on the new op system is clearly draining the battery as nothing else has been changed. What have you done?
